,x,y
0,675.9612190666003,515.0
1,676.0964459625026,524.9901980396079
2,676.2318407378536,534.9927985597119
3,676.3671515734803,544.989197839568
0,703.8844919786155,286.0
1,709.9657235629478,293.9143828765753
2,714.5104140350944,302.8009601920384
3,716.7153306528875,312.5229045809162
0,716.0868080525543,28.0
1,718.9273728124813,37.57191438287658
2,721.774467606339,47.16583316663333
3,724.6182973832315,56.748749749949994
4,727.4621271601239,66.33166633326665
5,730.3092219539818,75.92558511702342
0,636.249663920968,385.0
1,636.5970954242825,394.9731946389278
2,638.2920111928238,404.81836367273456
3,641.2197842174007,414.36907381476294
4,645.2186541849239,423.5357071414283
5,650.1024994753839,432.25425085017
6,655.7089044337072,440.5247049409882
7,661.9054055465265,448.372674534907
0,646.174633524538,101.0
1,648.142697789611,110.8007601520304
2,650.1107620546842,120.60152030406081
3,652.080192082606,130.40908181636328
0,892.8468476513664,212.0
1,894.9142866258553,221.77255451090218
2,896.9837992602986,231.55491098219645
3,899.0533118947419,241.3372674534907
4,901.1228245291852,251.11962392478495
5,903.1944108235829,260.9117823564713
0,49.64285714286382,266.0
1,53.39473632445606,275.247449489898
2,55.28764591256993,285.0494098819764
0,682.8,227.0
1,682.300700140028,236.98599719943988
0,871.5927415025233,212.0
1,873.8692520952084,221.7235447089418
2,876.1503524269917,231.46669333866774
3,878.4291578892258,241.2000400080016
4,880.7079633514601,250.93338667733548
5,882.9890636832433,260.6765353070614
0,420.0,473.70484581497794
1,428.99699939988,469.3450663701022
0,866.2386902947708,284.0
1,869.8875550788305,293.30426085217044
2,873.539087161709,302.61532306461294
3,877.1879519457686,311.9195839167834
0,749.3681910349037,120.0
1,750.5900850583724,129.90798159631927
2,751.815186152769,139.84196839367874
3,753.0386837117015,149.7629525905181
4,754.2621812706342,159.68393678735748
5,755.4856788295668,169.60492098419684
6,756.7107799239633,179.5389077815563
0,815.4503527792118,77.0
1,821.6397514918575,84.84896979395879
2,827.8291502045031,92.69793958791759
3,834.0237544669492,100.55351070214043
4,840.2131531795948,108.40248049609922
0,542.761932804364,78.0
1,545.6312446533443,87.56951390278056
2,548.5036154701805,97.14922984596919
3,551.3759862870169,106.72894578915783
4,554.2483571038532,116.30866173234647
5,557.1176689528335,125.87817563512702
0,667.5182305630027,171.0
1,669.6524898545393,180.7603520704141
2,671.7884113417858,190.52830566113224
3,673.9243328290323,200.29625925185036
0,799.0000000000001,294.0
1,801.6510902180437,303.6403280656131
0,486.0,130.0
0,394.5,106.0
1,392.0754150830166,115.69833966793358
0,274.0,123.06239737274223
1,282.4556911382276,117.7307300540568
0,510.1388888888889,238.0
1,511.9415994309973,247.83296659331867
2,513.7443099731057,257.66593318663735
0,756.0,251.6908042294136
1,765.8769753950791,250.1448566227183
2,775.753950790158,248.59890901602296
0,853.0,216.0
1,853.0,225.99799959991998
0,812.0,40.0
1,812.0,49.997999599919986
0,690.0096030728564,349.0
1,693.0756194143905,356.5993198639728
