,x,y
0,493.1177744754423,[94.]
1,465.14247484351745,[147.15023005]
2,436.42396281101117,[200.09161832]
3,407.0314696017498,[252.71974395]
4,377.04083141546784,[304.93018604]
5,346.4719228035434,[356.72294459]
6,315.2162885784792,[408.30686137]
7,283.4808870533535,[459.36867373]
8,251.08806494109513,[510.22164433]
9,218.18535079721045,[560.65693139]
10,184.79194343833086,[610.67453491]
0,481.02682031407625,[284.]
1,446.7837634081165,[333.48589718]
2,414.77221829064774,[384.47689538]
3,385.28635433328327,[436.9729946]
4,358.6290239033992,[490.97419484]
0,292.5080210671915,[172.]
1,256.14285024549974,[219.9189838]
2,220.93600033927012,[268.69213843]
3,186.92641254352574,[318.40488098]
4,154.27494147836097,[368.97179436]
5,123.03072970305436,[420.47829566]
6,93.35170837824529,[472.83896779]
7,65.29745619859051,[526.13922785]
8,39.02274609415156,[580.29365873]
0,340.6803624207206,[179.]
1,318.79799832375517,[234.68913783]
0,683.0699477388512,[277.]
1,682.9204454881688,[337.17763553]
2,679.0834830037168,[397.27045409]
3,671.6208544098871,[456.98159632]
0,774.8565283723509,[67.]
1,776.1657048156179,[127.11242248]
2,775.9846832267773,[187.31146229]
3,774.3105029695718,[247.5105021]
4,771.1487940354327,[307.62292458]
5,766.4982202011404,[367.73534707]
6,760.3885249242313,[427.58791758]
7,752.8148533246031,[487.35387077]
0,444.727105582599,[42.]
1,406.8679702628779,[88.80556111]
0,629.7059643713637,[537.]
1,629.6242027412136,[597.18803761]
0,133.51015072905875,[275.]
0,352.78291010782175,[529.]
1,324.1031845597852,[581.9139828]
2,296.18997438471723,[635.27285457]
0,205.662802905296,[585.]
1,180.5405880603511,[639.65893179]
0,510.57875641265235,[437.]
1,519.626882246337,[496.46989398]
2,523.718564577254,[556.5475095]
3,522.7305823580612,[616.71194239]
0,837.4850355631828,[221.]
1,834.0949202118022,[281.08161632]
2,828.2796395367486,[340.99839968]
3,820.0722613999131,[400.66793359]
0,189.75549085616169,[449.]
1,161.45410063929668,[502.04820964]
2,128.0653515701944,[552.15583117]
3,90.69427900056994,[599.36207241]
4,50.17166893749325,[643.90218044]
0,[841.],660.2181107436816
1,[895.34646929],634.4556791267817
0,736.1004623842728,[514.]
1,728.8239288891573,[563.35987197]
0,693.6772944674015,[519.]
1,693.4847597978063,[579.19203841]
0,816.7061395630477,[445.]
1,808.5004735177997,[504.62832567]
2,802.4532946863134,[564.50390078]
3,798.5918204600539,[624.62672535]
0,688.0198719096289,[126.]
1,685.1299091342676,[186.1120224]
2,687.8002824407853,[246.24904981]
0,316.8766577548589,[279.]
1,273.4890748578998,[320.55631126]
0,337.4631367684872,[53.]
0,425.9975327821796,[505.]
1,396.92899316040496,[557.69413883]
2,371.5438467365583,[612.27205441]
0,178.9995923661911,[209.]
1,148.55004931198846,[258.36187237]
0,586.4551147605044,[230.]
0,609.7198184302667,[640.]
0,307.29683939708457,[63.]
1,297.1044916687305,[122.32386477]
0,706.3013209830085,[79.]
1,674.0797835632934,[126.74554911]
0,224.0492218134746,[397.]
0,[887.],35.94427968071824
1,[945.18763753],51.422531944115605
0,69.74830156155713,[166.]
0,580.85074591727,[66.]
0,651.9878844343476,[481.]
0,603.4744261526189,[466.]
0,133.13836885406081,[123.]
0,469.92166479568596,[418.]
0,[211.],31.44796097300852
0,387.39217021276954,[156.]
0,550.779465361462,[273.]
0,30.309278350515,[49.]
0,848.0771665455351,[68.]
1,846.3467414972727,[128.17803561]
0,95.96426292277465,[74.]
1,128.27512911541226,[88.26325265]
2,188.27337835413437,[93.21864373]
0,561.1953691742071,[142.]
0,137.7100591715954,[58.]
0,-15.760034158931376,[201.]
1,44.05580384691348,[207.53730746]
0,492.54990846427637,[238.]
0,541.7994884138161,[319.]
0,143.665435585468,[189.]
0,[28.],4702.649244275485
1,[31.70934187],4645.414998960073
2,[35.59531906],4585.832678261155
3,[39.65793159],4523.9549377419335
4,[43.54390878],4465.162450491034
5,[47.6065213],4404.1104449401955
6,[51.66913383],4343.480481706531
7,[55.55511102],4285.881520554861
8,[59.79435887],4223.486682190723
9,[63.85697139],4164.12284590858
10,[67.91958392],4105.18105194361
11,[72.15883177],4044.126537006414
12,[76.39807962],3983.5315615298828
13,[80.63732747],3923.3961255140175
14,[84.87657532],3863.7202289588176
15,[89.11582316],3804.5038718642836
16,[93.53170634],3743.308826140217
17,[97.94758952],3682.6124126434347
18,[102.18683737],3624.8129688859535
19,[106.77935587],3562.7154823317246
20,[111.19523905],3503.514965516797
21,[115.78775755],3442.4753770959755
22,[120.20364073],3384.2920700247087
23,[124.79615923],3324.310379737295
24,[129.56531306],3262.5925355356994
25,[134.15783157],3203.710229583003
26,[138.9269854],3143.134053728999
27,[143.69613923],3083.1394825049
28,[148.46529306],3023.7265159107055
29,[153.41108222],2962.727383976297
30,[158.35687137],2902.353736307794
31,[163.30266053],2842.6055729051973
32,[168.24844969],2783.482893768507
33,[173.37087417],2722.9080816342957
34,[178.49329866],2663.0042290251195
35,[183.61572314],2603.771335940977
36,[188.91478296],2543.201992536045
37,[194.21384277],2483.350679538403
38,[199.68953791],2422.2586536076087
39,[205.16523305],2361.933324589488
40,[210.64092819],2302.37469248404
41,[216.11662332],2243.582757291266
42,[221.76895379],2183.69850211618
43,[227.59791958],2122.798516868893
44,[233.42688538],2062.767348414427
45,[239.25585117],2003.6049967527824
46,[245.26145229],1943.55855392694
47,[251.44368874],1882.7093967163928
48,[257.62592519],1822.8375586713241
49,[263.80816163],1763.943039791733
50,[270.34366873],1702.7458048360982
51,[276.70254051],1644.2508735982328
52,[283.41468294],1583.6279470167638
53,[290.12682537],1524.157060333212
54,[297.01560312],1464.319064378712
55,[304.0810162],1404.2073031062118
56,[311.32306461],1343.9175139033496
57,[318.56511302],1284.9688459389918
58,[326.16043209],1224.5854808798467
59,[333.93238648],1164.3248628498386
60,[341.70434087],1105.6088080070676
61,[349.82956591],1045.8753115173013
62,[358.30806161],985.3445693721096
63,[366.78655731],926.6519850695795
64,[375.79495899],866.3051895405906
65,[384.979996],806.9116628785032
66,[394.51830366],747.5171065015193
67,[404.40988198],688.3800113562611
68,[414.83136627],628.7814332722082
69,[425.78275655],569.1450101896635
70,[437.26405281],509.9159209611453
71,[449.27525505],451.56088535139224
72,[462.34626925],392.2485779668159
73,[476.30046009],333.750256430395
74,[491.66773355],275.08905153321666
75,[508.62472494],217.3674229045837
76,[528.05461092],160.26726178382978
77,[551.19383877],104.86001525083611
78,[581.57511502],52.90094314699763
79,[629.44328866],18.925031646377647
80,[680.13762753],46.82632760778506
81,[711.75535107],97.5025080718915
82,[735.60112022],152.63158987672705
83,[755.38427686],209.40363914477712
84,[772.69453891],267.2886632443415
85,[788.06181236],325.0967772790018
86,[802.19263853],383.58304499287715
87,[815.26365273],442.22877291791974
88,[827.62812563],501.72543177649004
89,[839.10942188],560.4727275235573
90,[850.06081216],619.6495937468726
91,[860.48229646],678.8108515939157
92,[870.5505101],738.604208102709
93,[880.08881776],797.6415871041563
94,[889.27385477],856.691165182393
95,[898.28225645],916.7006265233767
96,[906.93738748],976.3114139858653
