,x,y
0,396.9762880867773,[347.]
0,315.6500764641134,[275.]
1,311.77327932826034,[334.86797359]
2,324.1466486797812,[393.63372675]
0,279.35935918563104,[104.]
1,286.04853944904914,[163.82136427]
0,350.9318894056487,[510.]
0,675.8330910740476,[304.]
0,119.02388599520737,[423.]
0,763.9339430149378,[238.]
0,599.8757666717497,[118.]
0,862.5678062525229,[30.]
1,898.5700252205189,[78.0840168]
2,919.3790930217631,[134.24804961]
0,350.75340051407585,[228.]
1,381.6713110054773,[278.49009802]
0,505.4169832958415,[488.]
1,510.99928506985896,[547.93158632]
0,[762.],652.9668508296891
0,662.9901092434782,[40.]
0,738.1873049285207,[54.]
0,[849.],584.0
0,371.4307849232482,[629.]
0,415.1806913496957,[27.]
1,427.8721180516292,[85.62412482]
2,422.6493721593702,[145.38587718]
0,516.5221489261357,[552.]
0,918.8371396567248,[186.]
0,656.9392265193546,[120.]
0,610.8028515043625,[439.]
1,577.7179502389045,[467.49469894]
0,890.0500000000256,[480.]
0,492.0,[420.]
0,670.2507226741993,[215.]
0,295.7927497808687,[341.]
0,879.1053356462597,[297.]
0,[59.],197.95121951220244
0,[552.],45.93216072069117
0,893.0992076353286,[548.]
0,[165.],248.93939393937308
0,836.6240745586626,[182.]
1,850.2930340439348,[240.55131026]
0,524.16184438748,[317.]
0,365.7435212661772,[76.]
0,863.2857142857115,[464.]
0,[232.],384.83763048353035
0,[170.],77.28623843729702
0,581.1583065619126,[333.]
0,[447.],188.1018959423527
0,810.0000000000582,[273.]
0,[809.],633.6340451595406
0,840.2833340838532,[118.]
0,510.0141592919681,[402.]
0,829.7918502489766,[40.]
0,186.22997237569035,[289.]
0,[30.],408.5219103398116
1,[53.9639928],353.6749947524411
2,[79.71634327],299.4480961136536
3,[107.79355871],245.88940175841253
4,[138.37447489],194.15815741269535
5,[172.53210642],144.51674067394669
6,[211.33946789],98.54142465102632
7,[256.76375275],58.8118180477602
8,[310.05681136],31.566454667323796
9,[369.60912182],25.859453875606732
10,[426.47889578],44.78228692838013
11,[475.12222444],79.86157809067129
12,[516.61212242],123.54838422592991
13,[552.55811162],171.6443481970124
14,[584.56971394],222.48424690115087
15,[613.71994399],275.3429171159195
16,[640.36647329],329.13473068600877
17,[665.22464493],384.02942577651663
18,[688.47329466],439.48689615895967
19,[710.47009402],495.6219149893558
20,[731.21504301],551.8262757970969
21,[751.06581316],608.5745424803944
22,[770.20124025],666.0240565714834
23,[788.4424885],723.2988369143228
24,[805.96839368],780.6351058648621
25,[822.95779156],838.374809629344
26,[839.41068214],896.316625508438
27,[855.32706541],954.2655883617409
28,[870.88577716],1012.7150484839973
29,[885.9079816],1070.8401206557182
30,[900.5725145],1129.18383831733
31,[914.87937588],1187.6303526172887
