,x,y
0,804.4967440247055,562.0
1,794.9139830957138,564.8187637527506
2,785.5423678695006,568.2970594118824
3,776.8852095367038,573.2414482896579
4,774.9013800418979,581.878375675135
0,217.10909090908717,411.0
1,212.9829422379371,420.02260452090417
0,630.490445859803,289.0
1,621.1833649114778,292.4768953790758
2,627.050615439497,297.9743948789758
3,636.7761263724533,300.23424684936987
4,646.6290389421265,301.89337867573516
0,221.64510299968424,158.0
1,231.56494602666498,159.1002200440088
2,241.4734220352475,160.35887177435487
3,251.35577834787546,161.872774554911
4,261.16412751316784,163.91478295659132
5,268.1329781916829,168.8877775555111
6,258.85474153866926,172.34246849369873
7,249.0285936652872,174.20844168833767
8,239.14384013570816,175.6475295059012
9,229.2375793972842,176.8621724344869
10,219.28815706989008,177.9359871974395
11,209.35858555098275,178.90418083616723
12,199.38977915153373,179.79755951190236
0,153.0,269.1090448012974
1,154.25425085017002,259.220259788216
2,155.6491298259652,249.3044579542493
3,157.23024604920985,239.44219027089002
4,159.1116223244649,229.6140014039056
5,161.5631126225245,219.91701854864004
6,166.16583316663332,211.21548959744177
0,852.0,156.0
0,801.0,23.0
0,455.0,184.26904761896003
1,457.2364472894579,174.54780430580286
2,460.2250450090018,164.99630318746495
3,466.25025005001,157.70099629936158
4,471.93138627725546,165.4692921639289
5,474.8599719943989,175.02694529986184
0,817.0,56.801646127978984
1,825.4004800960192,62.21211062983684
2,833.4624924984997,68.13031638420716
0,565.0,592.0
0,450.0,506.91438356158324
1,458.07961592318463,509.74666770531985
2,463.34466893378675,501.3460088252323
0,382.7284939400779,291.0
1,381.3775384804714,300.90438087617525
2,380.5105400904731,310.8615723144629
0,319.0,74.00000000000068
0,192.0,212.82660083782912
1,199.70934186837368,218.97104532278536
0,177.0,284.65517241372436
1,177.66573314662932,294.58889541690587
2,178.4018803760752,304.56482240147307
3,179.23084616923384,314.5307180631644
4,180.2006401280256,324.4849789993241
5,181.4232846569314,334.41507453945815
6,183.38207641528305,344.234232244482
7,187.49169833966795,340.4645131611396
8,189.02480496099218,330.60439953536115
9,190.12902580516104,320.656804790975
10,191.0348069613923,310.71775149081077
11,191.8253650730146,300.7325288786451
12,192.53270654130827,290.7629953008727
0,270.0,335.99999999999994
1,278.9513902780556,340.45097665545273
