x_coord	y_coord	score
385	82	-0.044557363
100	565	-0.10141501
104	563	-0.129933
110	561	-0.17135331
157	460	-0.22022378
114	559	-0.25452483
379	77	-0.2670459
148	462	-0.2884632
153	461	-0.28856504
591	294	-0.30105576
626	333	-0.3331871
162	459	-0.35212117
106	559	-0.37286374
380	81	-0.38261458
57	626	-0.39010906
120	557	-0.39527413
388	85	-0.3965945
96	567	-0.40523198
185	608	-0.43758845
375	74	-0.4515581
62	624	-0.45366642
143	463	-0.47720158
624	328	-0.48263362
116	555	-0.48383495
52	628	-0.49142188
360	56	-0.50006723
407	100	-0.5022786
631	339	-0.5196892
83	480	-0.55127203
900	160	-0.55513537
587	292	-0.5639972
384	78	-0.5716969
600	190	-0.5757084
111	556	-0.5759964
44	629	-0.5980165
600	184	-0.60407245
124	555	-0.6168311
630	335	-0.6415217
685	277	-0.64329743
903	165	-0.64424753
411	105	-0.65802604
603	187	-0.6666343
393	89	-0.6976969
788	276	-0.70027834
928	190	-0.70039535
110	103	-0.7029034
688	400	-0.7064508
623	324	-0.7066207
136	466	-0.7141939
108	565	-0.7168021
87	478	-0.7210715
383	86	-0.72374487
375	69	-0.73325485
48	627	-0.7360033
592	298	-0.7422748
571	156	-0.74779785
280	430	-0.75175196
691	56	-0.758658
364	58	-0.76240176
74	482	-0.76851785
582	286	-0.790506
583	290	-0.791489
78	481	-0.79224014
305	422	-0.7985277
597	299	-0.8017025
53	624	-0.81387705
896	156	-0.8148053
814	298	-0.82442236
354	50	-0.82883966
592	290	-0.82898307
183	612	-0.8327982
689	282	-0.8338603
929	433	-0.83679926
685	397	-0.8373883
167	458	-0.83955693
241	439	-0.8456582
170	540	-0.84625477
895	269	-0.8485974
604	192	-0.8541651
101	560	-0.8575748
867	651	-0.8609237
687	49	-0.8613634
596	182	-0.8707676
186	604	-0.8717456
66	623	-0.8790501
635	340	-0.8819233
567	147	-0.88210684
729	210	-0.8853165
675	40	-0.8897399
766	366	-0.8929787
888	267	-0.896673
763	362	-0.89704716
403	99	-0.9040405
908	172	-0.9054771
130	555	-0.92227054
601	302	-0.9258137
58	622	-0.92599225
595	295	-0.9306747
512	209	-0.93703413
114	471	-0.9381672
683	41	-0.9418733
232	443	-0.9430189
637	344	-0.9577323
562	144	-0.962657
815	302	-0.9634212
39	629	-0.9742379
912	174	-0.98095167
313	422	-0.98464906
142	486	-0.9872924
166	541	-0.9905238
688	53	-0.9912133
572	160	-0.99215186
140	467	-0.99668777
926	186	-0.99771535
178	540	-0.9978918
705	421	-1.0008088
627	338	-1.0010074
568	151	-1.0061883
371	68	-1.0087107
268	431	-1.016638
580	282	-1.0243576
874	497	-1.0257264
899	164	-1.026006
354	55	-1.0278636
389	81	-1.0318749
784	270	-1.0321015
713	427	-1.03849
811	177	-1.0485023
389	90	-1.0501958
732	213	-1.0515503
275	430	-1.0528965
679	43	-1.0597798
917	429	-1.061951
118	561	-1.0646064
263	432	-1.0646383
615	320	-1.0653845
617	324	-1.0726902
904	170	-1.0749477
887	263	-1.0763041
256	435	-1.0798429
635	335	-1.0819626
181	606	-1.0841168
317	421	-1.0864623
145	459	-1.0875998
132	467	-1.0898094
555	532	-1.0983837
552	538	-1.0991461
709	425	-1.1008385
695	57	-1.105547
812	294	-1.1099663
216	445	-1.109979
105	103	-1.1101668
394	93	-1.1193963
685	45	-1.1203717
245	437	-1.1211824
727	206	-1.122291
871	653	-1.1232753
689	276	-1.1238147
673	266	-1.1295551
608	191	-1.1302801
679	467	-1.1312809
561	531	-1.1316347
150	458	-1.1320951
577	544	-1.133171
586	287	-1.1357443
629	330	-1.1359433
190	535	-1.147632
614	92	-1.1491495
913	289	-1.1508367
115	183	-1.1631014
685	391	-1.1644266
513	213	-1.1661481
567	155	-1.1694099
870	493	-1.1696317
684	273	-1.1707184
162	542	-1.1714483
240	443	-1.1740061
226	443	-1.1776996
601	307	-1.1802227
350	47	-1.1817354
99	102	-1.183944
612	88	-1.1843036
251	436	-1.1863041
393	83	-1.19196
689	396	-1.1941195
701	417	-1.2028993
921	430	-1.2041175
103	568	-1.2048943
682	423	-1.2091266
743	224	-1.2138704
691	50	-1.2156096
735	216	-1.2158337
508	207	-1.2171052
931	194	-1.2200738
411	99	-1.2235973
702	294	-1.2282197
790	280	-1.2290448
217	449	-1.2298595
379	71	-1.2325289
174	539	-1.2348543
31	585	-1.2356312
119	471	-1.239839
154	457	-1.2401456
904	161	-1.2440474
925	431	-1.2443334
788	271	-1.2446017
480	58	-1.24469
371	73	-1.2450702
399	96	-1.2459615
705	299	-1.2475047
147	466	-1.2482456
800	403	-1.2488295
760	359	-1.2535733
139	462	-1.2558869
639	339	-1.2620692
784	275	-1.2620714
358	52	-1.2653962
901	156	-1.2690146
830	287	-1.2706044
27	586	-1.2710729
681	47	-1.2748207
811	183	-1.2782943
97	98	-1.2786174
417	110	-1.2786381
805	177	-1.2787641
610	195	-1.2789814
675	270	-1.2791784
153	487	-1.2836251
669	260	-1.2860748
97	562	-1.2863324
597	187	-1.2924727
932	404	-1.2945919
600	296	-1.2954072
588	297	-1.296946
723	204	-1.2980751
566	143	-1.3024203
622	332	-1.302806
796	280	-1.3038188
448	145	-1.3040873
692	60	-1.3075898
158	456	-1.3076879
668	145	-1.3078717
899	275	-1.3091519
867	359	-1.3113115
517	212	-1.3122225
49	623	-1.3134842
69	485	-1.3151073
309	421	-1.3181278
605	310	-1.3207892
236	442	-1.3213445
732	206	-1.3230621
895	160	-1.3232039
560	140	-1.327884
892	265	-1.3305519
86	483	-1.3310938
692	404	-1.3357021
679	420	-1.3361425
576	280	-1.336505
818	185	-1.3371968
865	612	-1.3377559
597	304	-1.3415098
673	36	-1.3422228
155	75	-1.3433375
782	150	-1.3442062
108	98	-1.3451067
222	445	-1.3467535
107	555	-1.3476539
119	185	-1.3511895
750	471	-1.3534874
128	466	-1.356587
285	430	-1.3577627
114	564	-1.35802
800	53	-1.360937
509	212	-1.3654547
559	538	-1.3656136
590	286	-1.3668633
748	225	-1.3686743
705	416	-1.3694879
294	428	-1.371373
445	154	-1.3744911
668	381	-1.376502
875	493	-1.3785027
631	344	-1.3785846
820	302	-1.3788584
109	472	-1.379897
397	90	-1.3826308
475	58	-1.3826362
738	219	-1.3839078
579	539	-1.3847734
778	146	-1.3860681
709	420	-1.3874682
299	422	-1.3906454
157	541	-1.3911742
504	205	-1.3934225
228	447	-1.3938024
218	148	-1.3950653
613	316	-1.3993937
581	543	-1.4090861
882	259	-1.4095422
915	425	-1.4111997
793	162	-1.411814
909	288	-1.4127105
123	470	-1.4142475
70	481	-1.4163094
716	196	-1.416464
573	542	-1.4168336
415	106	-1.4170772
368	60	-1.4172806
90	481	-1.4191847
126	559	-1.4197737
260	436	-1.4200572
877	651	-1.4223788
914	418	-1.422644
709	301	-1.4231527
578	287	-1.4242793
807	416	-1.4310489
118	103	-1.4314514
321	420	-1.4360691
156	464	-1.4399995
735	210	-1.440777
618	91	-1.4462329
547	538	-1.4464327
788	161	-1.4496937
259	431	-1.4517064
796	402	-1.4521104
526	226	-1.4522192
754	473	-1.4535534
681	270	-1.4535755
338	60	-1.4557271
133	463	-1.458395
669	377	-1.460482
695	287	-1.4612018
687	57	-1.4615871
746	470	-1.4617676
91	567	-1.4622188
667	256	-1.4641113
152	465	-1.469698
557	266	-1.4698693
90	475	-1.4704533
94	478	-1.4704553
370	64	-1.4744928
355	46	-1.4746361
395	97	-1.4770501
619	328	-1.4790261
103	98	-1.4801899
888	384	-1.4833055
406	105	-1.4848976
516	208	-1.493201
696	406	-1.493474
684	387	-1.493503
45	624	-1.4944246
145	546	-1.4950621
379	85	-1.4951216
890	388	-1.4973755
27	591	-1.4989024
159	545	-1.4994133
70	622	-1.5005076
769	369	-1.5007329
922	187	-1.5036908
189	607	-1.5076168
633	331	-1.5077375
61	628	-1.5097569
877	141	-1.5098438
672	150	-1.5100969
562	535	-1.5112513
715	81	-1.5124191
376	80	-1.5126412
786	157	-1.5141612
134	554	-1.5149547
882	380	-1.5166539
606	196	-1.5176561
54	620	-1.520506
789	521	-1.5255843
699	291	-1.526169
621	320	-1.5265524
736	334	-1.5272788
654	487	-1.5300231
552	132	-1.5309937
801	534	-1.5313283
554	136	-1.5355307
756	357	-1.5358661
680	388	-1.5401988
679	274	-1.5409683
165	462	-1.5427258
322	416	-1.5456458
390	94	-1.5459071
318	417	-1.5471807
551	533	-1.549653
900	279	-1.5500463
271	434	-1.5506253
561	270	-1.5540085
891	270	-1.5545837
98	475	-1.5549881
712	78	-1.5558747
95	104	-1.5587145
746	464	-1.5594894
692	399	-1.559772
668	264	-1.5646546
580	162	-1.5675204
218	524	-1.5696899
723	196	-1.5728278
178	535	-1.5728396
713	432	-1.5741777
872	369	-1.5786499
932	189	-1.5786767
879	133	-1.5787165
738	213	-1.5789208
680	471	-1.5828128
717	434	-1.5851046
724	209	-1.5854114
641	343	-1.5862108
105	471	-1.587759
683	51	-1.588385
346	45	-1.5897338
75	478	-1.589952
890	147	-1.5910754
818	190	-1.5917326
403	94	-1.5928676
164	454	-1.5951221
804	286	-1.5956255
594	178	-1.5980972
793	276	-1.5988022
924	191	-1.6000283
700	59	-1.6006224
743	219	-1.6011049
684	401	-1.6022732
235	438	-1.6035
905	289	-1.6064783
639	348	-1.60691
607	186	-1.6073195
766	496	-1.6094095
295	424	-1.6103239
784	516	-1.6104141
892	153	-1.6140163
684	281	-1.6164098
396	86	-1.6170933
388	77	-1.6177055
160	463	-1.6189653
730	217	-1.6193846
41	625	-1.6211984
807	181	-1.6226289
568	159	-1.6268668
472	55	-1.6271127
119	552	-1.627559
692	279	-1.6292415
79	505	-1.6295544
244	442	-1.6304865
175	155	-1.6317042
385	74	-1.6338893
292	635	-1.6339324
46	473	-1.6348194
632	222	-1.6360612
623	336	-1.6361667
49	631	-1.636291
593	302	-1.6373655
764	357	-1.6384437
165	545	-1.6385229
290	430	-1.6393679
177	517	-1.6402564
461	163	-1.6403071
871	363	-1.6406394
366	68	-1.6419834
876	373	-1.6425074
194	534	-1.6450453
376	64	-1.6454102
808	293	-1.6475675
120	492	-1.6494613
767	137	-1.6511153
520	225	-1.651252
614	196	-1.6540422
583	598	-1.6549835
579	602	-1.65641
592	512	-1.6570253
683	419	-1.6592058
700	413	-1.6613134
171	459	-1.6650826
549	542	-1.665116
112	552	-1.6656226
617	87	-1.6661438
143	550	-1.6663818
924	427	-1.6703445
932	436	-1.6704046
632	349	-1.6726424
229	440	-1.6754588
726	201	-1.681044
341	70	-1.6815302
801	173	-1.6820091
913	414	-1.6850368
815	181	-1.6851604
652	491	-1.6870849
627	325	-1.6872464
182	538	-1.6886582
513	205	-1.6951221
334	57	-1.6955721
803	57	-1.6970378
859	477	-1.6994846
556	142	-1.7006674
564	392	-1.7019192
742	462	-1.702307
880	375	-1.7031212
347	70	-1.707025
138	488	-1.7078557
167	537	-1.7079953
666	252	-1.7082508
783	154	-1.7087631
448	157	-1.710935
443	144	-1.7164153
907	167	-1.7170764
845	591	-1.7175256
726	213	-1.7175875
930	429	-1.719261
807	537	-1.721381
900	168	-1.7241799
146	485	-1.724674
31	590	-1.7247319
823	82	-1.7252187
114	582	-1.7287519
717	429	-1.7349764
114	104	-1.7350715
664	380	-1.735328
503	210	-1.7365379
545	131	-1.7374222
580	157	-1.7382064
800	284	-1.7400644
679	38	-1.7420053
739	458	-1.7440051
688	405	-1.7447512
734	221	-1.7465742
350	54	-1.7476301
441	151	-1.748164
806	282	-1.7493267
694	53	-1.7498598
606	304	-1.750291
804	292	-1.7506218
804	61	-1.7510041
607	314	-1.7542547
700	421	-1.7547404
852	114	-1.7547675
473	165	-1.7559571
598	650	-1.7561197
135	470	-1.7572291
585	283	-1.7573313
563	539	-1.7593791
569	544	-1.759588
570	144	-1.7603637
876	255	-1.7610055
445	149	-1.7623271
590	650	-1.7635939
878	379	-1.764802
130	471	-1.7655007
566	531	-1.7673527
706	295	-1.7682735
800	169	-1.7684785
711	305	-1.7685382
871	489	-1.7688096
542	125	-1.7698618
814	186	-1.7717308
669	386	-1.7724103
