x_coord	y_coord	score
134	414	-0.108357966
132	420	-0.21331735
784	316	-0.21478112
785	310	-0.2268805
195	266	-0.23277465
136	410	-0.25020224
868	326	-0.25577688
185	288	-0.26489568
130	424	-0.26772702
186	284	-0.27746162
254	115	-0.28227386
869	320	-0.2830696
265	87	-0.28493956
266	83	-0.32738516
669	473	-0.32948697
258	107	-0.33569402
172	326	-0.3420788
183	295	-0.34341234
812	288	-0.3560356
194	270	-0.36109427
669	478	-0.3669311
192	275	-0.37539494
783	320	-0.38277003
200	251	-0.39087656
250	123	-0.39122444
269	74	-0.39148864
808	312	-0.39503366
138	406	-0.3958555
255	111	-0.40216982
252	119	-0.40901455
671	465	-0.40958577
786	306	-0.4180609
146	387	-0.41938046
261	94	-0.42406285
811	292	-0.4276064
168	330	-0.4290066
150	379	-0.43438393
270	69	-0.43473306
268	79	-0.43579453
196	262	-0.43697086
144	392	-0.4396874
788	291	-0.44514498
667	482	-0.45196596
274	58	-0.45226187
278	56	-0.46079093
272	62	-0.46099147
199	255	-0.4819723
152	375	-0.48203546
259	100	-0.48938656
140	402	-0.48950452
173	322	-0.492322
149	383	-0.50052077
264	91	-0.5010394
189	279	-0.5026296
701	302	-0.5069697
602	456	-0.51031125
810	297	-0.51814467
665	486	-0.51835185
103	487	-0.5196296
155	364	-0.52543277
782	328	-0.53095406
142	398	-0.53179467
700	430	-0.53367794
779	343	-0.5375387
602	461	-0.53977484
870	315	-0.5406969
186	292	-0.5491007
602	466	-0.5518435
283	40	-0.5529529
809	305	-0.55383736
164	346	-0.5621838
690	365	-0.57305014
130	416	-0.573547
281	50	-0.5781901
181	302	-0.5866756
80	538	-0.59481025
167	334	-0.6093026
195	258	-0.6146432
867	330	-0.6154177
153	368	-0.62444377
176	313	-0.6275003
787	301	-0.62840873
813	278	-0.6291406
670	469	-0.63088477
778	350	-0.6309793
129	428	-0.6324762
136	418	-0.6330865
873	309	-0.6339094
202	247	-0.6342772
885	592	-0.6344046
812	301	-0.636701
789	287	-0.6434189
180	307	-0.6517898
254	106	-0.6522978
811	284	-0.6529669
603	452	-0.65418184
212	223	-0.6556129
100	491	-0.66100264
885	609	-0.66166687
887	588	-0.66251147
281	44	-0.6663908
174	317	-0.6702267
815	273	-0.67051303
689	372	-0.6743262
81	534	-0.6750847
249	127	-0.6759972
160	354	-0.6794232
594	489	-0.6813432
98	498	-0.68503034
788	296	-0.68544626
284	36	-0.6866851
273	66	-0.6879901
780	339	-0.68809736
168	338	-0.69277406
166	342	-0.69862545
558	610	-0.69924384
236	158	-0.702302
185	280	-0.7062344
808	317	-0.7095088
676	424	-0.7109271
201	241	-0.7119143
846	446	-0.7126963
698	434	-0.7160104
815	285	-0.71823955
200	259	-0.72236645
597	480	-0.7230042
804	216	-0.72349584
618	372	-0.7237654
600	470	-0.7240592
77	542	-0.7274895
910	96	-0.7287432
885	601	-0.7339673
556	624	-0.73565793
190	283	-0.73575413
868	334	-0.7456572
598	465	-0.75323486
157	360	-0.7532689
558	617	-0.7552066
205	239	-0.7582675
162	350	-0.7596651
677	435	-0.7596915
845	450	-0.760144
594	483	-0.7632957
912	87	-0.76509404
784	324	-0.7669132
848	441	-0.76703197
282	54	-0.7740092
698	440	-0.7789663
598	475	-0.7854302
263	98	-0.7868371
804	208	-0.789896
273	54	-0.7919357
211	228	-0.7925917
184	299	-0.79694575
285	32	-0.7973084
277	61	-0.79794014
617	378	-0.79821086
208	235	-0.7997973
585	509	-0.80049145
554	628	-0.8034228
261	104	-0.8038247
594	495	-0.804838
261	88	-0.8050089
883	605	-0.8051785
883	613	-0.80890465
182	291	-0.809474
277	52	-0.8123881
701	307	-0.81509054
601	446	-0.82560086
190	271	-0.8280701
262	84	-0.8298175
617	386	-0.8314482
675	443	-0.8322346
676	431	-0.8417127
105	483	-0.84759754
126	433	-0.8478593
189	287	-0.85661495
214	218	-0.86021394
269	86	-0.8611784
237	162	-0.86359894
843	589	-0.8667197
269	65	-0.8668313
869	311	-0.87320805
779	354	-0.87540287
598	460	-0.8756642
596	471	-0.8846692
790	283	-0.8848773
146	380	-0.88619566
672	461	-0.88727564
175	309	-0.8876095
782	333	-0.88858175
619	368	-0.88903666
191	267	-0.89413273
777	358	-0.89909375
142	388	-0.9007126
816	134	-0.90787536
171	333	-0.90842867
697	444	-0.91094947
867	338	-0.91444266
584	513	-0.91489935
140	394	-0.9164244
853	410	-0.91765755
161	358	-0.91807914
848	432	-0.9185383
101	495	-0.9200018
703	298	-0.92342496
593	500	-0.92400885
155	372	-0.92509645
680	415	-0.9263849
804	334	-0.9264592
872	323	-0.92915595
899	169	-0.9299251
229	181	-0.929942
228	185	-0.9327383
873	319	-0.93284345
594	476	-0.9334669
605	448	-0.93518066
880	620	-0.9387677
614	390	-0.9393933
