x_coord	y_coord	score
428	60	0.36595848
429	64	0.308091
426	54	0.30213287
432	69	0.25676116
372	219	0.17875418
577	236	0.16854748
579	241	0.15549442
407	313	0.1539571
611	351	0.14055905
374	223	0.13901213
570	461	0.12921384
434	74	0.1283113
522	56	0.12812862
393	277	0.1277571
563	180	0.10296795
569	207	0.10141501
568	203	0.09677622
565	190	0.092618674
372	214	0.07430735
406	309	0.07164925
424	50	0.071272016
418	40	0.070127636
436	79	0.056792617
524	60	0.053100437
563	186	0.044649273
504	254	0.04381922
567	199	0.04346639
416	35	0.043248802
567	454	0.041404605
612	356	0.036872983
395	282	0.031306326
400	296	0.027621448
376	229	0.020442247
618	379	0.01986295
593	294	0.01680556
601	319	0.01221779
571	465	0.01128149
593	299	0.009972602
566	195	0.0039343834
610	347	0.0016333461
480	185	0.0015907884
478	179	-0.0054941475
520	52	-0.008240283
616	373	-0.009301215
517	44	-0.010812432
626	410	-0.011404902
575	222	-0.012891144
397	286	-0.013875127
423	46	-0.017446846
519	48	-0.019843102
571	211	-0.022069722
281	208	-0.027070075
378	233	-0.028523475
481	189	-0.031602114
573	218	-0.03662187
505	258	-0.03743562
287	226	-0.03791046
664	521	-0.038576633
285	218	-0.03944707
370	210	-0.04373318
586	267	-0.04400617
599	313	-0.044258833
580	245	-0.045164287
561	176	-0.046996832
286	222	-0.055787265
614	369	-0.056100488
565	450	-0.05742532
503	250	-0.059063733
399	292	-0.0608083
597	307	-0.06322491
596	303	-0.06519362
408	317	-0.06962973
367	202	-0.069716394
532	343	-0.07237029
453	423	-0.07249412
433	65	-0.07275507
438	83	-0.07486567
544	118	-0.08030638
501	245	-0.08191317
575	228	-0.083040506
521	303	-0.084533125
391	272	-0.0923745
284	214	-0.09286496
499	241	-0.09290424
654	490	-0.0933156
405	305	-0.09345558
609	343	-0.09466982
507	262	-0.09521854
592	290	-0.098461926
582	250	-0.09873977
289	230	-0.09929496
627	417	-0.10335487
489	210	-0.10357776
619	383	-0.105124116
440	87	-0.10615611
571	471	-0.10749242
519	299	-0.10771799
525	64	-0.10845882
524	315	-0.109867305
312	297	-0.117547244
368	206	-0.11798516
402	300	-0.118489474
640	450	-0.12091881
584	259	-0.12093145
652	486	-0.12239677
587	271	-0.12266436
379	237	-0.1261492
522	310	-0.12720937
334	109	-0.12741292
530	339	-0.12812525
310	286	-0.13322234
613	365	-0.13564625
516	40	-0.13648564
419	44	-0.14844543
330	101	-0.14845732
667	527	-0.14885613
451	419	-0.15010095
584	254	-0.15397888
308	282	-0.15723494
314	301	-0.15738541
552	144	-0.15832332
279	201	-0.16011697
612	361	-0.1623159
542	114	-0.16573286
560	172	-0.1667482
590	286	-0.17137054
415	333	-0.17142436
332	105	-0.17498007
276	196	-0.17591298
534	586	-0.17935984
499	236	-0.18012987
389	264	-0.18050888
443	95	-0.18201876
483	194	-0.18292126
390	268	-0.18574144
455	429	-0.18583956
335	113	-0.18830438
256	139	-0.18933828
311	291	-0.192943
601	325	-0.1953238
476	175	-0.19585146
632	425	-0.19710788
605	331	-0.197516
576	232	-0.19782217
620	389	-0.19849671
441	91	-0.19854115
387	259	-0.19862412
274	190	-0.20275348
324	325	-0.2035628
