x_coord	y_coord	score
438	71	0.45778635
138	247	0.4248323
349	126	0.41791227
323	142	0.39774558
442	68	0.34198955
316	146	0.33573112
281	167	0.32623312
287	163	0.32170072
365	116	0.30956975
424	80	0.3018699
353	124	0.2987447
290	160	0.2966282
432	75	0.290772
128	253	0.28447762
327	140	0.2832226
494	34	0.2795258
229	292	0.27595076
124	254	0.2708449
178	224	0.2627181
296	158	0.2542924
418	83	0.24736944
490	37	0.24660555
146	241	0.24326238
142	244	0.24313101
312	148	0.24213704
134	249	0.24176762
233	290	0.23614445
458	58	0.23212078
428	76	0.22823349
182	223	0.21567419
319	143	0.212491
369	113	0.20798501
498	32	0.20190641
112	262	0.18568811
345	128	0.18311402
472	49	0.18076244
120	257	0.1751428
202	212	0.17380664
281	263	0.16948411
150	240	0.1628739
558	94	0.1623778
246	32	0.15091452
486	41	0.14628056
383	105	0.14421263
299	155	0.14312008
361	118	0.14188549
239	37	0.1360651
463	54	0.13549897
569	144	0.12916169
554	96	0.12891272
190	219	0.12732187
216	365	0.117504865
154	239	0.11742881
260	274	0.11629596
447	64	0.11629018
108	264	0.11573294
628	102	0.11485413
468	51	0.11177829
377	107	0.11167684
116	260	0.111384004
161	395	0.10573247
217	203	0.10558376
61	288	0.10236344
357	121	0.09869847
389	100	0.0984135
206	306	0.09633103
163	75	0.09221718
341	130	0.09194037
230	356	0.08819869
331	137	0.087423176
237	289	0.08473906
213	207	0.083756715
147	82	0.080947846
214	302	0.080554575
218	299	0.08044198
480	45	0.08011672
184	65	0.07946727
194	216	0.078813046
178	67	0.07752904
303	154	0.07711515
151	81	0.075755864
158	237	0.073541164
624	104	0.06901693
210	304	0.06752443
188	64	0.06732392
307	152	0.06666082
277	265	0.06489208
174	227	0.06174344
504	28	0.05982229
265	273	0.05494407
224	296	0.054727793
257	277	0.05309531
277	170	0.052090406
207	209	0.049374342
66	284	0.04847023
287	259	0.045146853
252	280	0.04107076
37	301	0.03714329
240	286	0.036882102
545	102	0.03516364
222	44	0.03252244
232	39	0.029492527
137	88	0.029452175
209	370	0.027255267
632	99	0.022403806
454	60	0.021178722
143	85	0.017587543
159	77	0.016704202
373	109	0.013761759
243	35	0.013531923
476	48	0.007473409
45	296	0.004157424
246	282	0.003499031
199	375	0.0024183393
385	101	0.0012211204
166	392	0.0003055036
213	368	-0.0016958117
550	100	-0.006036669
573	140	-0.008180767
198	215	-0.00971064
750	100	-0.012060881
150	400	-0.013394058
53	292	-0.0139404535
155	79	-0.014101237
186	220	-0.022410542
414	86	-0.022831023
776	79	-0.023577332
271	269	-0.025403887
337	132	-0.025458813
221	202	-0.025599957
562	93	-0.025942355
156	398	-0.027162284
223	361	-0.031250536
227	41	-0.031377763
33	303	-0.034554303
226	357	-0.043232292
192	60	-0.043333918
153	332	-0.052865922
541	106	-0.05540088
723	34	-0.05679953
49	294	-0.059095234
207	52	-0.06010866
339	229	-0.0610424
577	138	-0.062332362
234	355	-0.064154744
250	31	-0.066658586
72	282	-0.069449335
203	373	-0.07189423
104	266	-0.0721052
643	90	-0.07218686
57	290	-0.08040324
291	257	-0.08245528
272	173	-0.08397737
742	105	-0.08489323
265	176	-0.09170392
149	335	-0.09338269
746	104	-0.101301044
567	88	-0.10214177
621	107	-0.10784799
507	25	-0.10825822
144	403	-0.1112276
174	69	-0.11636469
141	339	-0.12076256
225	201	-0.121445715
65	377	-0.12566951
636	95	-0.1273508
393	99	-0.12886876
205	369	-0.131823
450	61	-0.14025018
719	35	-0.14106548
220	364	-0.14204875
755	98	-0.14467654
202	307	-0.14496154
85	276	-0.14750123
335	136	-0.14897358
731	116	-0.15367103
671	158	-0.15631616
647	88	-0.157538
203	56	-0.15862069
639	92	-0.16045767
402	95	-0.16131291
211	51	-0.17250708
433	71	-0.17314163
404	91	-0.1760636
314	245	-0.17679456
218	48	-0.17795712
774	83	-0.17880382
245	286	-0.18019032
162	236	-0.18127981
728	29	-0.18128285
116	353	-0.1856646
420	79	-0.18606466
112	164	-0.18692511
170	324	-0.18755281
640	65	-0.18896909
140	405	-0.18956867
343	228	-0.19085985
236	40	-0.19750679
42	299	-0.19759625
81	278	-0.20058286
137	341	-0.20060022
437	75	-0.20417345
179	320	-0.20475863
100	268	-0.20744844
195	377	-0.21081556
727	118	-0.21170117
563	89	-0.212004
166	72	-0.2135241
760	91	-0.21401826
678	153	-0.21781173
682	151	-0.21875662
129	92	-0.21877792
175	321	-0.22472537
784	73	-0.23326509
157	331	-0.239414
715	39	-0.24040517
388	104	-0.2452739
675	157	-0.2483007
232	196	-0.24877253
235	36	-0.24902663
77	280	-0.24925834
88	273	-0.2501297
135	407	-0.25032938
734	111	-0.25446165
295	255	-0.2558012
296	318	-0.25715858
431	79	-0.26547742
187	381	-0.2671088
291	322	-0.26713556
256	28	-0.26721627
133	253	-0.26776648
581	134	-0.26906866
226	45	-0.2698377
187	317	-0.2720815
314	308	-0.27246863
50	386	-0.2756232
615	110	-0.27935243
120	350	-0.27997333
121	415	-0.28022724
346	225	-0.28098825
255	182	-0.28265625
69	375	-0.28381795
145	337	-0.28518945
705	46	-0.28530556
781	79	-0.28608865
75	373	-0.28723806
672	153	-0.29096454
125	412	-0.2922293
727	33	-0.29228565
667	157	-0.29331723
645	31	-0.29695654
167	327	-0.29746825
282	163	-0.2980699
564	147	-0.3015583
170	71	-0.30497974
147	245	-0.30499524
335	231	-0.30558306
467	55	-0.30710882
688	147	-0.30731985
738	109	-0.30842817
758	95	-0.30866748
408	88	-0.30886
