x_coord	y_coord	score
905	596	0.38215032
899	605	0.30064413
900	601	0.2815406
897	609	0.21705875
907	592	0.17268494
37	79	0.15931371
833	546	0.06519616
41	75	0.06371206
43	71	0.0031359494
826	557	-0.0061700344
837	542	-0.009028643
829	552	-0.035265416
904	600	-0.040466875
824	561	-0.06586447
901	597	-0.07298535
895	613	-0.12386495
762	649	-0.12748379
238	497	-0.1312997
164	445	-0.15544537
924	568	-0.15617305
36	83	-0.17841694
758	654	-0.19661313
264	515	-0.19891764
241	500	-0.20017615
260	512	-0.25431517
245	502	-0.2657119
769	353	-0.28016695
255	508	-0.30483145
268	516	-0.3060861
830	408	-0.33038875
235	494	-0.33183706
841	538	-0.36266947
161	441	-0.36937323
37	74	-0.37505847
109	410	-0.38139582
923	126	-0.38157976
124	418	-0.3819638
756	448	-0.38583785
852	374	-0.38679543
101	484	-0.38691896
822	565	-0.3892185
843	533	-0.40383193
203	472	-0.40891668
911	590	-0.42180166
839	397	-0.426994
118	414	-0.42746714
114	412	-0.43049106
753	376	-0.4407014
765	645	-0.4431372
771	349	-0.44725052
825	553	-0.4484432
891	615	-0.45800066
844	385	-0.4591624
833	403	-0.4615572
757	369	-0.46433496
829	547	-0.46747273
231	493	-0.47198695
903	604	-0.47616804
749	380	-0.48006794
834	550	-0.48084232
829	326	-0.4816238
833	320	-0.49108124
47	67	-0.50197524
926	564	-0.50417376
843	244	-0.50844014
249	506	-0.51346934
150	436	-0.5167866
156	441	-0.52613384
134	424	-0.5270736
763	359	-0.5282698
928	560	-0.52886635
221	484	-0.5314729
97	482	-0.5315187
767	357	-0.5348567
894	606	-0.53900564
836	400	-0.5402391
902	593	-0.54487693
129	422	-0.5517802
106	407	-0.5553751
838	546	-0.57252115
217	482	-0.5765766
154	437	-0.57817817
892	610	-0.5854346
826	414	-0.5866733
102	404	-0.5884461
816	573	-0.59081656
227	488	-0.5945017
830	556	-0.5947069
870	496	-0.59825647
270	520	-0.606489
213	480	-0.6067856
138	426	-0.6085517
896	602	-0.61324614
199	470	-0.6188383
871	492	-0.62134016
758	444	-0.6218826
181	455	-0.6357733
185	460	-0.6388496
169	445	-0.6400281
207	476	-0.6583705
840	393	-0.662392
851	378	-0.6794946
39	70	-0.6795233
745	386	-0.6833755
775	348	-0.6868591
909	438	-0.69070685
748	627	-0.6911862
98	403	-0.69164115
915	136	-0.6948267
903	450	-0.6989852
918	130	-0.7126255
50	62	-0.7141747
752	621	-0.72023046
172	449	-0.72460747
237	501	-0.7246587
274	521	-0.7280127
261	508	-0.7378211
119	418	-0.73823607
242	496	-0.73946184
123	414	-0.74038994
131	602	-0.74168146
846	530	-0.74515593
907	587	-0.7475239
873	486	-0.7491569
212	476	-0.75178266
107	488	-0.7519909
837	537	-0.7553824
234	498	-0.7607821
166	441	-0.76113427
43	66	-0.76167375
855	516	-0.7643484
141	429	-0.76757747
839	110	-0.7704314
847	242	-0.7747978
146	432	-0.7790878
83	392	-0.7798666
769	641	-0.7805439
774	352	-0.7914324
777	344	-0.79444325
848	383	-0.79726887
826	409	-0.7991048
865	502	-0.8003824
837	316	-0.80829704
855	370	-0.80965936
754	452	-0.81084526
857	508	-0.81217885
102	488	-0.81491905
278	525	-0.8168704
841	543	-0.82011896
234	490	-0.8215095
783	579	-0.82359207
253	504	-0.8240464
753	371	-0.8265538
265	511	-0.8311196
843	389	-0.83215475
832	542	-0.83267033
861	504	-0.8338678
113	408	-0.83731794
836	118	-0.8422861
755	618	-0.8430742
876	481	-0.8460089
844	248	-0.8482862
256	513	-0.85042816
92	398	-0.8523436
159	437	-0.8589083
922	572	-0.8619001
127	601	-0.863346
843	114	-0.8644528
745	633	-0.86493754
312	547	-0.86494064
903	442	-0.86599815
308	544	-0.86604583
249	501	-0.86943066
762	442	-0.8759452
273	517	-0.87677586
863	457	-0.8780601
913	586	-0.8789341
246	498	-0.8797587
793	197	-0.88767827
153	433	-0.88833714
177	454	-0.8890306
834	407	-0.889484
849	91	-0.8900366
735	650	-0.8906828
827	330	-0.8910644
42	79	-0.89398307
866	498	-0.89705944
762	365	-0.9007256
854	520	-0.9010004
189	461	-0.9047309
226	484	-0.90498483
899	452	-0.90520024
93	480	-0.90570855
239	493	-0.9094169
128	417	-0.9123987
779	223	-0.91354305
932	556	-0.91385955
52	58	-0.9197731
909	597	-0.9214624
820	569	-0.9266521
841	103	-0.9347651
743	637	-0.9372829
834	324	-0.94518507
176	450	-0.9468559
886	146	-0.94894326
828	562	-0.9549526
135	604	-0.95558226
892	619	-0.96022546
839	115	-0.9614786
860	460	-0.96219635
222	480	-0.9627925
851	236	-0.96319366
222	488	-0.9644301
84	475	-0.9646951
196	467	-0.96694946
46	63	-0.9714632
909	140	-0.97171557
88	393	-0.9732239
208	472	-0.9740293
133	420	-0.976161
774	629	-0.9789995
133	428	-0.9828249
835	396	-0.9843644
89	476	-0.9856646
851	87	-0.9860724
96	399	-0.98771214
754	656	-0.9878545
917	584	-0.9880624
319	555	-0.9923359
78	391	-0.9931872
374	652	-0.99584424
813	577	-0.9971204
845	100	-0.9998872
763	653	-1.0015619
123	597	-1.0052537
904	446	-1.0063283
295	538	-1.0083218
159	445	-1.0104159
843	109	-1.0146016
192	465	-1.0165193
72	384	-1.0225716
142	425	-1.0231706
921	273	-1.0265261
845	537	-1.0297606
167	449	-1.0310676
785	575	-1.0327299
772	345	-1.0332282
111	489	-1.0361171
885	474	-1.037521
785	220	-1.0379974
86	397	-1.038703
914	132	-1.0431281
913	437	-1.0444616
55	53	-1.0465142
265	519	-1.0477356
105	483	-1.047879
66	382	-1.0500488
917	126	-1.0531493
773	633	-1.0587062
832	399	-1.0590563
101	400	-1.062292
732	653	-1.0642018
863	55	-1.0660424
762	355	-1.0668952
851	524	-1.0670687
303	542	-1.068611
145	428	-1.0717648
752	626	-1.0721271
