x_coord	y_coord	score
319	653	0.10511485
328	652	0.052527964
315	654	0.0504376
808	605	0.03349185
98	183	0.02702105
324	653	0.00030758977
878	607	-0.024822563
334	652	-0.02743107
800	605	-0.027988613
804	606	-0.054140747
102	179	-0.07849622
94	185	-0.10765773
884	607	-0.119318366
106	177	-0.12847483
310	655	-0.12948826
659	611	-0.15523863
342	650	-0.15610307
667	609	-0.17062819
813	605	-0.17067567
795	605	-0.17497084
338	651	-0.17891867
197	129	-0.19817008
89	188	-0.21114865
346	649	-0.21957695
203	125	-0.23536001
891	606	-0.24236138
873	607	-0.25539762
671	607	-0.25933933
305	656	-0.2748949
822	607	-0.27804425
193	131	-0.2804889
817	607	-0.2890789
679	607	-0.29124337
209	122	-0.30381912
799	609	-0.30935273
827	607	-0.30964166
655	613	-0.31396675
213	118	-0.31990698
896	607	-0.3240276
350	648	-0.32579446
697	607	-0.32871422
860	606	-0.33098578
868	607	-0.34513932
187	133	-0.34711942
788	605	-0.34999847
112	174	-0.3638329
662	608	-0.3744731
792	608	-0.4053543
888	609	-0.4213556
887	604	-0.42351627
110	178	-0.42615157
702	607	-0.4284612
904	606	-0.44232386
675	609	-0.443838
783	605	-0.4486352
876	603	-0.4569322
432	635	-0.46501943
417	564	-0.46832156
900	605	-0.47089797
683	608	-0.47353202
855	605	-0.4850484
864	605	-0.48912102
331	649	-0.49342945
821	603	-0.50320745
85	190	-0.5087384
421	563	-0.5137979
299	656	-0.51571566
881	604	-0.5206431
663	613	-0.52367675
428	636	-0.5322368
436	636	-0.53557086
691	607	-0.5379276
831	608	-0.5707612
413	566	-0.5713554
422	635	-0.58335483
405	566	-0.59002686
807	609	-0.61696535
202	129	-0.6267066
211	143	-0.63092244
851	604	-0.64093786
302	653	-0.6481154
805	602	-0.6526507
80	191	-0.6794685
116	172	-0.6816375
707	607	-0.68316424
425	562	-0.6907809
812	609	-0.695315
90	184	-0.69586337
919	606	-0.7022207
846	604	-0.7039242
826	603	-0.7153158
871	603	-0.7299713
654	609	-0.7359439
204	146	-0.736426
293	656	-0.73653793
97	179	-0.74055487
816	602	-0.74836093
75	193	-0.75128496
908	605	-0.7533927
830	604	-0.75644386
401	568	-0.7571234
335	648	-0.76865375
687	609	-0.7754183
837	608	-0.7790445
675	668	-0.7818632
71	194	-0.78187764
894	603	-0.7863413
346	32	-0.7889326
189	129	-0.78935564
355	648	-0.79026484
708	666	-0.7915796
787	609	-0.7948202
861	602	-0.7952639
725	606	-0.7969522
325	649	-0.8034173
629	668	-0.8062806
351	31	-0.80842006
208	118	-0.82376146
215	114	-0.8325871
670	612	-0.83412695
394	570	-0.838413
440	633	-0.8395437
416	636	-0.8425007
713	607	-0.8443831
312	651	-0.84591794
409	564	-0.84754395
307	652	-0.8510479
185	137	-0.8549719
778	605	-0.86505723
120	170	-0.8690069
843	608	-0.8711075
670	667	-0.87870395
803	610	-0.88184524
836	666	-0.8821732
658	607	-0.88387275
386	570	-0.8868175
812	601	-0.8871544
867	602	-0.8927554
923	605	-0.89655495
103	183	-0.8996387
390	568	-0.904953
724	537	-0.90915954
162	606	-0.9119466
711	538	-0.91197836
429	563	-0.9135845
732	606	-0.9213406
721	607	-0.921669
755	665	-0.9267609
93	189	-0.9281012
108	173	-0.9290447
433	562	-0.9348258
717	608	-0.95367074
199	124	-0.95440793
703	538	-0.9550539
205	121	-0.95691
682	667	-0.96438503
86	185	-0.9660411
296	653	-0.97232914
625	669	-0.97359
650	613	-0.9751793
841	604	-0.9766724
409	570	-0.97736216
852	608	-0.9789636
124	169	-0.98629785
338	36	-0.9869783
886	539	-0.9914975
82	187	-0.994171
659	667	-0.99481845
834	605	-1.0008049
680	611	-1.0035802
698	611	-1.0046234
635	667	-1.0149615
412	635	-1.0201349
289	658	-1.0318984
83	194	-1.0384618
914	606	-1.0392345
581	670	-1.0421319
359	646	-1.0444528
665	667	-1.0464143
415	570	-1.0482484
585	617	-1.0499698
779	544	-1.0528173
832	665	-1.0551468
718	537	-1.0569203
206	142	-1.0590789
901	609	-1.0679411
591	670	-1.0754639
891	540	-1.075844
339	647	-1.076913
181	138	-1.0876235
398	572	-1.0886534
698	667	-1.0955799
216	143	-1.0973094
397	566	-1.1010871
597	670	-1.1018066
759	667	-1.1041362
422	559	-1.1060132
585	672	-1.108457
686	605	-1.1087363
420	567	-1.108931
93	181	-1.1098696
418	560	-1.1150563
207	126	-1.1176635
707	536	-1.1260738
342	33	-1.1267043
377	569	-1.1270419
439	561	-1.127651
730	535	-1.1284722
382	572	-1.1334267
773	605	-1.1350291
892	610	-1.1389387
209	147	-1.1393787
341	654	-1.1418867
444	561	-1.1463723
200	148	-1.1465725
320	649	-1.1533577
890	601	-1.156588
798	601	-1.1607265
167	606	-1.1641723
157	606	-1.170005
666	605	-1.1719214
620	669	-1.1775668
97	188	-1.1816581
699	536	-1.1827345
791	602	-1.1833099
840	667	-1.1866329
577	617	-1.1937029
107	181	-1.194023
714	535	-1.1961161
612	669	-1.1972638
428	559	-1.2080206
863	609	-1.2089723
287	654	-1.2096773
828	664	-1.2131172
777	548	-1.2145858
730	610	-1.2164075
886	600	-1.2173475
115	177	-1.2192284
345	653	-1.2251422
405	571	-1.2255123
588	613	-1.2272391
655	666	-1.2273092
201	143	-1.2278372
795	611	-1.2292488
449	561	-1.2362087
704	667	-1.2368648
111	170	-1.2384708
178	598	-1.2407336
181	133	-1.2492334
701	542	-1.250239
592	612	-1.251225
121	174	-1.2714913
371	569	-1.2726521
875	540	-1.2733388
895	541	-1.273592
463	631	-1.2793632
534	554	-1.2802286
577	672	-1.2901952
763	665	-1.2910912
177	139	-1.2939504
749	546	-1.2966164
694	666	-1.3047795
805	540	-1.3053315
584	612	-1.3075342
534	549	-1.3080387
183	600	-1.3089178
775	543	-1.3091732
714	541	-1.309382
686	666	-1.310295
381	568	-1.3105453
743	545	-1.3112634
650	608	-1.3129016
353	571	-1.3169881
804	544	-1.3301834
694	610	-1.3310813
414	561	-1.3314034
170	603	-1.3331639
873	545	-1.3337526
753	548	-1.3352501
349	652	-1.3379378
676	546	-1.3424414
529	553	-1.3464527
538	557	-1.3479353
435	632	-1.349941
454	654	-1.352444
882	540	-1.3560069
933	607	-1.3576536
331	655	-1.3620842
581	618	-1.365261
782	541	-1.3657453
424	566	-1.3673588
840	543	-1.3722645
363	569	-1.3724084
803	534	-1.3727347
461	557	-1.3731459
543	27	-1.3795823
743	539	-1.382133
195	125	-1.383285
783	545	-1.3856337
693	542	-1.3857933
754	605	-1.389608
314	586	-1.3903748
515	622	-1.3914161
