x_coord	y_coord	score
832	92	0.90699756
835	89	0.89185107
838	86	0.82180524
748	287	0.7284347
856	69	0.725574
826	97	0.68156564
852	73	0.66542387
842	83	0.66076255
806	234	0.6421335
813	228	0.619117
810	232	0.61889446
752	283	0.61518514
848	77	0.6082965
845	80	0.590165
816	225	0.5832237
859	66	0.5565554
802	238	0.5484898
815	109	0.5438291
737	297	0.535764
798	242	0.53525174
745	290	0.534564
725	83	0.5307059
771	149	0.52537584
830	96	0.49579915
854	191	0.4921607
857	187	0.48788992
848	196	0.48113742
844	200	0.48012725
820	221	0.47939226
763	155	0.4766561
781	141	0.4648995
756	160	0.46457985
822	100	0.45610073
871	174	0.45478848
889	159	0.4498311
817	105	0.44904366
722	87	0.44249448
758	277	0.4376504
755	280	0.4334658
775	147	0.43317583
753	164	0.42989162
760	158	0.42711547
741	292	0.42573974
789	133	0.42547068
767	153	0.4188461
728	80	0.41783097
733	299	0.41326264
799	122	0.40707454
811	112	0.40178958
795	245	0.4004033
748	168	0.39885464
917	131	0.39484158
892	154	0.38678792
785	137	0.36595127
801	118	0.3579729
840	203	0.34856346
894	32	0.34584102
771	39	0.3424982
895	151	0.33958438
732	77	0.33097503
867	178	0.33057234
793	129	0.32677308
718	91	0.31874737
931	117	0.31512854
885	161	0.31481048
737	72	0.31277058
805	116	0.30967537
745	172	0.30698445
742	175	0.30278245
902	145	0.30069593
864	63	0.29772487
913	133	0.29734465
783	256	0.29312733
778	35	0.29146865
824	218	0.29113564
850	192	0.28258887
860	184	0.2809972
790	250	0.2790536
921	127	0.26302043
777	143	0.2629151
863	181	0.26230666
899	149	0.25053266
875	170	0.23955813
827	93	0.23923877
762	273	0.22137967
821	104	0.21984443
925	123	0.2168878
909	137	0.20874122
795	125	0.20792732
879	167	0.20094553
728	188	0.19516489
779	260	0.19238302
714	94	0.19152984
635	574	0.1829221
767	45	0.18228927
743	68	0.18073496
834	85	0.17400953
882	164	0.15566424
766	271	0.15348044
732	303	0.15256539
836	208	0.14955702
753	58	0.14534208
929	121	0.13586983
905	142	0.12926975
830	213	0.12539372
898	31	0.11844328
831	88	0.10743156
248	602	0.1059691
872	57	0.102571756
745	64	0.10179338
773	35	0.07724914
868	61	0.073635995
635	569	0.067278504
733	73	0.055420965
781	32	0.047896504
265	591	0.045105606
787	253	0.040744543
890	37	0.03762722
818	101	0.037101418
853	195	0.033430904
817	229	0.03206414
794	249	0.020365298
848	72	0.019246101
738	176	0.010309517
775	264	0.0014363229
252	600	-0.009461492
566	328	-0.014430106
826	214	-0.018847018
736	76	-0.02304706
635	579	-0.024713337
742	296	-0.032035023
866	174	-0.03774056
