#micrograph: ../Source/micrographs/Microtubules_00083.mrc
#particle length: 300
#particle width: 300
#helix: (4761.5, 108.49999999999989),(4779.5, 774.4999999999999),300
4765.5525742	258.445245481
4766.36308904	288.434294577
4767.17360388	318.423343673
4767.98411872	348.412392769
4768.79463356	378.401441866
4769.6051484	408.390490962
4770.41566324	438.379540058
4771.22617809	468.368589154
4772.03669293	498.35763825
4772.84720777	528.346687347
4773.65772261	558.335736443
4774.46823745	588.324785539
4775.27875229	618.313834635
4776.08926713	648.302883731
#helix: (5670.5, 3294.5),(3951.5, 2178.5),300
5544.68832859	3212.82121856
5519.52599431	3196.48546227
5494.36366003	3180.14970599
5469.20132575	3163.8139497
5444.03899146	3147.47819341
5418.87665718	3131.14243712
5393.7143229	3114.80668084
5368.55198862	3098.47092455
5343.38965434	3082.13516826
5318.22732005	3065.79941197
5293.06498577	3049.46365568
5267.90265149	3033.1278994
5242.74031721	3016.79214311
5217.57798293	3000.45638682
5192.41564865	2984.12063053
5167.25331436	2967.78487425
5142.09098008	2951.44911796
5116.9286458	2935.11336167
5091.76631152	2918.77760538
5066.60397724	2902.4418491
5041.44164295	2886.10609281
5016.27930867	2869.77033652
4991.11697439	2853.43458023
4965.95464011	2837.09882395
4940.79230583	2820.76306766
4915.62997155	2804.42731137
4890.46763726	2788.09155508
4865.30530298	2771.75579879
4840.1429687	2755.42004251
4814.98063442	2739.08428622
4789.81830014	2722.74852993
4764.65596585	2706.41277364
4739.49363157	2690.07701736
4714.33129729	2673.74126107
4689.16896301	2657.40550478
4664.00662873	2641.06974849
4638.84429445	2624.73399221
4613.68196016	2608.39823592
4588.51962588	2592.06247963
4563.3572916	2575.72672334
4538.19495732	2559.39096705
4513.03262304	2543.05521077
4487.87028875	2526.71945448
4462.70795447	2510.38369819
4437.54562019	2494.0479419
4412.38328591	2477.71218562
4387.22095163	2461.37642933
4362.05861735	2445.04067304
4336.89628306	2428.70491675
4311.73394878	2412.36916047
4286.5716145	2396.03340418
4261.40928022	2379.69764789
4236.24694594	2363.3618916
4211.08461165	2347.02613532
4185.92227737	2330.69037903
4160.75994309	2314.35462274
4135.59760881	2298.01886645
4110.43527453	2281.68311016
4085.27294025	2265.34735388
4060.11060596	2249.01159759
#helix: (2169.5, 90.49999999999989),(999.5, 1620.5),300
2078.38248386	209.653674947
2060.15898064	233.484409936
2041.93547741	257.315144925
2023.71197418	281.145879915
2005.48847096	304.976614904
1987.26496773	328.807349893
1969.0414645	352.638084882
1950.81796127	376.468819872
1932.59445805	400.299554861
1914.37095482	424.13028985
1896.14745159	447.96102484
1877.92394837	471.791759829
1859.70044514	495.622494818
1841.47694191	519.453229808
1823.25343868	543.283964797
1805.02993546	567.114699786
1786.80643223	590.945434776
1768.582929	614.776169765
1750.35942578	638.606904754
1732.13592255	662.437639744
1713.91241932	686.268374733
1695.68891609	710.099109722
1677.46541287	733.929844712
1659.24190964	757.760579701
1641.01840641	781.59131469
1622.79490319	805.422049679
1604.57139996	829.252784669
1586.34789673	853.083519658
1568.1243935	876.914254647
1549.90089028	900.744989637
1531.67738705	924.575724626
1513.45388382	948.406459615
1495.2303806	972.237194605
1477.00687737	996.067929594
1458.78337414	1019.89866458
1440.55987092	1043.72939957
1422.33636769	1067.56013456
1404.11286446	1091.39086955
1385.88936123	1115.22160454
1367.66585801	1139.05233953
1349.44235478	1162.88307452
1331.21885155	1186.71380951
1312.99534833	1210.5445445
1294.7718451	1234.37527949
1276.54834187	1258.20601448
1258.32483864	1282.03674947
1240.10133542	1305.86748446
1221.87783219	1329.69821944
1203.65432896	1353.52895443
1185.43082574	1377.35968942
1167.20732251	1401.19042441
1148.98381928	1425.0211594
1130.76031605	1448.85189439
1112.53681283	1472.68262938
1094.3133096	1496.51336437
1076.08980637	1520.34409936
#helix: (3690.5, 3906.5),(2772.5, 2790.5),300
3595.20941913	3790.65654875
3576.15130296	3767.4878585
3557.09318678	3744.31916825
3538.03507061	3721.150478
3518.97695444	3697.98178775
3499.91883826	3674.8130975
3480.86072209	3651.64440725
3461.80260592	3628.475717
3442.74448974	3605.30702675
3423.68637357	3582.1383365
3404.6282574	3558.96964625
3385.57014122	3535.800956
3366.51202505	3512.63226575
3347.45390887	3489.4635755
3328.3957927	3466.29488524
3309.33767653	3443.12619499
3290.27956035	3419.95750474
3271.22144418	3396.78881449
3252.16332801	3373.62012424
3233.10521183	3350.45143399
3214.04709566	3327.28274374
3194.98897949	3304.11405349
3175.93086331	3280.94536324
3156.87274714	3257.77667299
3137.81463097	3234.60798274
3118.75651479	3211.43929249
3099.69839862	3188.27060224
3080.64028244	3165.10191199
3061.58216627	3141.93322174
3042.5240501	3118.76453149
3023.46593392	3095.59584124
3004.40781775	3072.42715099
2985.34970158	3049.25846074
2966.2915854	3026.08977049
2947.23346923	3002.92108024
2928.17535306	2979.75238999
2909.11723688	2956.58369974
2890.05912071	2933.41500949
2871.00100453	2910.24631924
2851.94288836	2887.07762899
#helix: (5436.5, 1962.5),(3636.5, 891.4999999999999),300
5307.59257965	1885.80008489
5281.81109558	1870.46010187
5256.02961151	1855.12011885
5230.24812743	1839.78013582
5204.46664336	1824.4401528
5178.68515929	1809.10016978
5152.90367522	1793.76018676
5127.12219115	1778.42020374
5101.34070708	1763.08022071
5075.55922301	1747.74023769
5049.77773894	1732.40025467
5023.99625487	1717.06027165
4998.2147708	1701.72028863
4972.43328673	1686.3803056
4946.65180266	1671.04032258
4920.87031859	1655.70033956
4895.08883452	1640.36035654
4869.30735045	1625.02037352
4843.52586638	1609.68039049
